category,item,variety_or_spec,quantity,unit,kcal_per_unit,location,container,date_acquired,review_by,rotation_action,notes
WATER,Stored water,Mains-filled + 2 drops bleach/L,400,L,0,Cellar,2x 200 L barrel,2026-03-01,2026-09-01,Empty and refill,Dated on lid; siphon pump on shelf above
WATER,Jerry cans,Food-grade HDPE 20 L,120,L,0,Garage,6x 20 L,2026-03-01,2026-09-01,Empty and refill,Portable; keep 2 by the door
WATER,NaDCC tablets,Aquatabs 20 L dose,50,tab,0,Kitchen store,Sealed tin,2026-01-15,2031-01-15,Replace,Treats 1000 L
WATER,Filter elements,Ceramic gravity spare pair,2,pcs,0,Kitchen store,Original boxes,2025-11-01,2027-11-01,Replace,Fits the worktop gravity filter
WATER,Calcium hypochlorite,65-70% no additives,500,g,0,Shed,Sealed HDPE,2026-02-01,2029-02-01,Check dry,STORE AWAY FROM HOUSE - strong oxidiser
FOOD-GRAIN,Wheat berries,Hard red winter,100,kg,3400,Cellar,5x 20 L bucket + mylar + O2,2026-02-10,2051-02-10,None,Frozen 72 h before packing
FOOD-GRAIN,White rice,Long grain,60,kg,3600,Cellar,3x 20 L bucket + mylar + O2,2026-02-10,2051-02-10,None,
FOOD-GRAIN,Rolled oats,,30,kg,3800,Cellar,2x bucket + mylar + O2,2026-02-10,2046-02-10,None,
FOOD-GRAIN,Pasta,Durum,30,kg,3600,Under stairs,Original + mylar,2026-04-01,2031-04-01,FIFO,Layer A - eaten weekly
FOOD-LEGUME,Dry beans,Borlotti / white,20,kg,3400,Cellar,Bucket + mylar + O2,2026-02-10,2051-02-10,None,Pressure cook - they harden with age
FOOD-LEGUME,Lentils,Green/brown,15,kg,3500,Cellar,Bucket + mylar + O2,2026-02-10,2051-02-10,None,Also sproutable
FOOD-FAT,Olive oil,Extra virgin in tins,10,L,8800,Cool cupboard,5x 2 L tin,2026-05-01,2028-05-01,FIFO - USE,SHORT LIFE - highest rotation priority
FOOD-FAT,Sunflower oil,,8,L,8800,Cool cupboard,Dark bottles,2026-05-01,2027-11-01,FIFO - USE,Rancidity risk
FOOD-SUGAR,Sugar,White granulated,20,kg,4000,Cellar,Bucket,2026-02-10,2051-02-10,None,Indefinite if dry
FOOD-SUGAR,Honey,Local raw,5,kg,3040,Pantry,Glass jars,2026-08-01,,None,Never expires
FOOD-SALT,Salt,Coarse pickling + table,16,kg,0,Cellar,Sealed tubs,2026-02-10,,None,Essential for preserving - buy more
FOOD-DAIRY,Milk powder,Whole,8,kg,4900,Cellar,Mylar + O2,2026-02-10,2036-02-10,None,
FOOD-PROTEIN,Tinned sardines,In oil,60,tin,250,Pantry shelf,Original,2026-03-01,2031-03-01,FIFO,Omega-3 + vitamin D
FOOD-VEG,Tinned tomatoes,,40,tin,80,Pantry shelf,Original,2026-03-01,2028-03-01,FIFO,High acid - rotate on printed date
FOOD-SEED,Sprouting seed,Mung/lentil/alfalfa/radish mix,10,kg,3400,Kitchen,Glass jars sealed,2026-01-20,2030-01-20,Germination test,CRITICAL - vitamin C source
FOOD-COMFORT,Coffee,Green unroasted beans,10,kg,0,Cellar,Mylar,2026-02-10,2031-02-10,None,Green beans keep 5+ yr; roast in a pan
FOOD-COMFORT,Spices and bouillon,Assorted,3,kg,0,Kitchen,Jars,2026-03-01,2029-03-01,FIFO,Morale layer - do not skip
